PERMNO,date,TICKER,RET
89848,12/08/2016,AGG,-0.001846
89848,12/09/2016,AGG,-0.003051
89848,12/12/2016,AGG,-0.000927
89848,12/13/2016,AGG,0.001299
89848,12/14/2016,AGG,-0.005469
89848,12/15/2016,AGG,-0.001212
89848,12/16/2016,AGG,0.000653
89848,12/19/2016,AGG,0.002611
89848,12/20/2016,AGG,-0.000930
89848,12/21/2016,AGG,0.002141
89848,12/22/2016,AGG,-0.000012
89848,12/23/2016,AGG,0.000279
89848,12/27/2016,AGG,-0.000745
89848,12/28/2016,AGG,0.001584
89848,12/29/2016,AGG,0.003069
89848,12/30/2016,AGG,0.002040
89848,01/03/2017,AGG,0.001018
89848,01/04/2017,AGG,0.000277
89848,01/05/2017,AGG,0.004159
89848,01/06/2017,AGG,-0.003313
89848,01/09/2017,AGG,0.001662
89848,01/10/2017,AGG,-0.000277
89848,01/11/2017,AGG,0.001199
89848,01/12/2017,AGG,0.000368
89848,01/13/2017,AGG,-0.001749
89848,01/17/2017,AGG,0.003413
89848,01/18/2017,AGG,-0.004320
89848,01/19/2017,AGG,-0.002585
89848,01/20/2017,AGG,0.000370
89848,01/23/2017,AGG,0.002776
89848,01/24/2017,AGG,-0.001569
89848,01/25/2017,AGG,-0.002680
89848,01/26/2017,AGG,0.000649
89848,01/27/2017,AGG,0.000833
89848,01/30/2017,AGG,-0.000463
89848,01/31/2017,AGG,0.002407
89848,02/01/2017,AGG,-0.001403
89848,02/02/2017,AGG,0.000556
89848,02/03/2017,AGG,0.000278
89848,02/06/2017,AGG,0.002870
89848,02/07/2017,AGG,0.001016
89848,02/08/2017,AGG,0.002859
89848,02/09/2017,AGG,-0.002391
89848,02/10/2017,AGG,-0.000184
89848,02/13/2017,AGG,-0.001475
89848,02/14/2017,AGG,-0.002216
89848,02/15/2017,AGG,-0.001573
89848,02/16/2017,AGG,0.002132
89848,02/17/2017,AGG,0.002220
89848,02/21/2017,AGG,-0.000092
89848,02/22/2017,AGG,0.000646
89848,02/23/2017,AGG,0.001660
89848,02/24/2017,AGG,0.003683
89848,02/27/2017,AGG,-0.001835
89848,02/28/2017,AGG,-0.000276
89848,03/01/2017,AGG,-0.004686
89848,03/02/2017,AGG,-0.001851
89848,03/03/2017,AGG,0.000742
89848,03/06/2017,AGG,-0.000463
89848,03/07/2017,AGG,-0.001298
89848,03/08/2017,AGG,-0.002413
89848,03/09/2017,AGG,-0.003071
89848,03/10/2017,AGG,0.001493
89848,03/13/2017,AGG,-0.001678
89848,03/14/2017,AGG,0.000373
89848,03/15/2017,AGG,0.005786
89848,03/16/2017,AGG,-0.001113
89848,03/17/2017,AGG,0.002136
89848,03/20/2017,AGG,0.001483
89848,03/21/2017,AGG,0.002036
89848,03/22/2017,AGG,0.001385
89848,03/23/2017,AGG,0.000277
89848,03/24/2017,AGG,-0.000830
89848,03/27/2017,AGG,0.002399
89848,03/28/2017,AGG,-0.002302
89848,03/29/2017,AGG,0.002215
89848,03/30/2017,AGG,-0.001841
89848,03/31/2017,AGG,0.000738
89848,04/03/2017,AGG,0.003709
89848,04/04/2017,AGG,-0.000920
89848,04/05/2017,AGG,0.001105
89848,04/06/2017,AGG,-0.000092
89848,04/07/2017,AGG,-0.002208
89848,04/10/2017,AGG,0.001291
89848,04/11/2017,AGG,0.002855
89848,04/12/2017,AGG,0.002204
89848,04/13/2017,AGG,0.001283
89848,04/17/2017,AGG,-0.000549
89848,04/18/2017,AGG,0.004029
89848,04/19/2017,AGG,-0.001550
89848,04/20/2017,AGG,-0.001553
89848,04/21/2017,AGG,0.000274
89848,04/24/2017,AGG,-0.001463
89848,04/25/2017,AGG,-0.003297
89848,04/26/2017,AGG,0.001287
89848,04/27/2017,AGG,0.000918
89848,04/28/2017,AGG,0.001742
89848,05/01/2017,AGG,-0.002571
89848,05/02/2017,AGG,0.001380
89848,05/03/2017,AGG,-0.001010
89848,05/04/2017,AGG,-0.000827
89848,05/05/2017,AGG,0.000184
89848,05/08/2017,AGG,-0.001932
89848,05/09/2017,AGG,0.000092
89848,05/10/2017,AGG,0.000276
89848,05/11/2017,AGG,-0.000092
89848,05/12/2017,AGG,0.003686
89848,05/15/2017,AGG,-0.000367
89848,05/16/2017,AGG,0.001286
89848,05/17/2017,AGG,0.005137
89848,05/18/2017,AGG,-0.000548
89848,05/19/2017,AGG,0.000000
89848,05/22/2017,AGG,-0.000639
89848,05/23/2017,AGG,-0.001919
89848,05/24/2017,AGG,0.001739
89848,05/25/2017,AGG,0.000457
89848,05/26/2017,AGG,-0.000365
89848,05/30/2017,AGG,0.001919
89848,05/31/2017,AGG,0.001003
89848,06/01/2017,AGG,-0.000454
89848,06/02/2017,AGG,0.003288
89848,06/05/2017,AGG,-0.001548
89848,06/06/2017,AGG,0.002006
89848,06/07/2017,AGG,-0.001183
89848,06/08/2017,AGG,-0.001002
89848,06/09/2017,AGG,-0.000821
89848,06/12/2017,AGG,0.000000
89848,06/13/2017,AGG,0.000274
89848,06/14/2017,AGG,0.003194
89848,06/15/2017,AGG,-0.000637
89848,06/16/2017,AGG,0.000637
89848,06/19/2017,AGG,-0.001364
89848,06/20/2017,AGG,0.001548
89848,06/21/2017,AGG,0.000182
89848,06/22/2017,AGG,0.000455
89848,06/23/2017,AGG,0.000182
89848,06/26/2017,AGG,0.000909
89848,06/27/2017,AGG,-0.002996
89848,06/28/2017,AGG,0.000364
89848,06/29/2017,AGG,-0.001912
89848,06/30/2017,AGG,-0.001277
89848,07/03/2017,AGG,-0.001779
89848,07/05/2017,AGG,0.000550
89848,07/06/2017,AGG,-0.001924
89848,07/07/2017,AGG,-0.000367
89848,07/10/2017,AGG,0.000459
89848,07/11/2017,AGG,0.000918
89848,07/12/2017,AGG,0.003026
89848,07/13/2017,AGG,-0.001097
89848,07/14/2017,AGG,0.001007
89848,07/17/2017,AGG,0.000457
89848,07/18/2017,AGG,0.002285
89848,07/19/2017,AGG,0.000274
89848,07/20/2017,AGG,0.000274
89848,07/21/2017,AGG,0.001731
89848,07/24/2017,AGG,-0.000910
89848,07/25/2017,AGG,-0.003551
89848,07/26/2017,AGG,0.001919
89848,07/27/2017,AGG,-0.001459
89848,07/28/2017,AGG,0.002009
89848,07/31/2017,AGG,-0.000456
89848,08/01/2017,AGG,0.002735
89848,08/02/2017,AGG,-0.000729
89848,08/03/2017,AGG,0.002007
89848,08/04/2017,AGG,-0.001638
89848,08/07/2017,AGG,-0.000091
89848,08/08/2017,AGG,-0.000912
89848,08/09/2017,AGG,0.000913
89848,08/10/2017,AGG,0.001003
89848,08/11/2017,AGG,0.000820
89848,08/14/2017,AGG,-0.000455
89848,08/15/2017,AGG,-0.001457
89848,08/16/2017,AGG,0.001824
89848,08/17/2017,AGG,0.001456
89848,08/18/2017,AGG,-0.000636
89848,08/21/2017,AGG,0.000728
89848,08/22/2017,AGG,-0.000909
89848,08/23/2017,AGG,0.002274
89848,08/24/2017,AGG,-0.001271
89848,08/25/2017,AGG,0.000727
89848,08/28/2017,AGG,0.000363
89848,08/29/2017,AGG,0.001452
89848,08/30/2017,AGG,-0.000181
89848,08/31/2017,AGG,0.001360
89848,09/01/2017,AGG,-0.002266
89848,09/05/2017,AGG,0.004092
89848,09/06/2017,AGG,-0.001087
89848,09/07/2017,AGG,0.002448
89848,09/08/2017,AGG,-0.001176
89848,09/11/2017,AGG,-0.002716
89848,09/12/2017,AGG,-0.001453
89848,09/13/2017,AGG,-0.001000
89848,09/14/2017,AGG,0.000546
89848,09/15/2017,AGG,-0.000182
